# Full, machine-readable Table 2 from Stahl et al. 2019
# Photometry of 93 SNe Ia
#
# NULL values are denoted by 99.999
#
# ---------------------------------------------------------------------------------------------------------
SN       MJD       B      EB       V      EV       R      ER       I      EI   CLEAR  ECLEAR   system
 2007fs  54308.32  16.093   0.068  15.648   0.025  15.828   0.029  16.374   0.064  99.999  99.999    kait4
 2007fs  54315.37  16.774   0.057  15.983   0.026  16.044   0.028  16.333   0.056  99.999  99.999    kait4
 2007fs  54316.08  16.879   0.027  16.025   0.014  15.980   0.012  16.062   0.020  99.999  99.999  nickel1
 2007fs  54317.08  16.984   0.032  16.060   0.021  15.972   0.015  16.038   0.020  99.999  99.999  nickel1
 2007fs  54318.33  17.153   0.052  16.131   0.034  16.072   0.035  16.240   0.050  99.999  99.999    kait4
 2007fs  54321.35  17.416   0.038  16.270   0.022  16.089   0.026  16.181   0.044  99.999  99.999    kait4
 2007fs  54323.10  17.568   0.033  16.357   0.017  16.075   0.017  15.946   0.019  99.999  99.999  nickel1
 2007fs  54324.06  17.639   0.027  16.415   0.016  16.428   0.200  15.946   0.017  99.999  99.999  nickel1
 2007fs  54324.30  17.685   0.045  16.461   0.028  16.164   0.030  16.134   0.040  99.999  99.999    kait4
 2007fs  54327.34  17.899   0.052  16.613   0.027  16.283   0.032  16.125   0.038  99.999  99.999    kait4
 2007fs  54330.29  18.183   0.056  16.765   0.028  16.481   0.035  16.317   0.042  99.999  99.999    kait4
 2007fs  54332.03  18.142   0.031  16.914   0.021  16.555   0.022  16.283   0.027  99.999  99.999  nickel1
 2007fs  54333.03  18.184   0.031  16.953   0.021  16.629   0.021  16.350   0.025  99.999  99.999  nickel1
 2007fs  54333.30  18.203   0.051  16.972   0.044  16.639   0.079  16.481   0.075  99.999  99.999    kait4
 2007fs  54336.02  18.337   0.076  17.076   0.048  16.775   0.026  16.543   0.022  99.999  99.999  nickel1
 2007fs  54336.32  18.423   0.126  17.078   0.051  16.810   0.049  16.677   0.051  99.999  99.999    kait4
 2007fs  54344.07  18.425   0.059  17.397   0.036  17.098   0.036  17.007   0.044  99.999  99.999  nickel1
 2007fs  54345.26  18.352   0.109  17.431   0.058  17.148   0.050  17.182   0.089  99.999  99.999    kait4
 2007fs  54348.30  18.499   0.106  17.452   0.046  17.278   0.072  17.285   0.119  99.999  99.999    kait4
 2007fs  54353.28  18.693   0.072  17.620   0.045  17.442   0.057  17.528   0.099  99.999  99.999    kait4
 2007fs  54357.00  18.647   0.082  17.715   0.049  17.551   0.065  17.581   0.062  99.999  99.999  nickel1
