# Full, machine-readable Table B3 from Stahl et al. 2019
# Natural System Photometry of 93 SNe Ia
#
# NULL values are denoted by 99.999
#
# ---------------------------------------------------------------------------------------------------------
SN       MJD       B      EB       V      EV       R      ER       I      EI   CLEAR  ECLEAR   system
 2007fb  54357.43  19.608   0.198  18.919   0.172  18.877   0.273  18.954   0.356  99.999  99.999    kait4
 2007fb  54358.08  99.999  99.999  18.879   0.054  18.812   0.067  18.662   0.134  99.999  99.999  nickel1
 2007fb  54360.30  19.539   0.214  18.915   0.239  18.942   0.268  19.032   0.454  99.999  99.999    kait4
 2007fb  54363.44  19.476   0.282  19.152   0.351  18.763   0.444  99.999  99.999  99.999  99.999    kait4
 2007fb  54366.25  19.842   0.431  19.156   0.432  19.189   0.484  19.473   0.828  99.999  99.999    kait4
 2007fb  54372.36  99.999  99.999  99.999  99.999  19.517   0.784  99.999  99.999  99.999  99.999    kait4
 2007fb  54375.33  19.593   0.504  19.318   0.548  19.250   0.602  99.999  99.999  99.999  99.999    kait4
 2007fb  54379.08  19.952   0.109  19.447   0.113  19.419   0.284  99.999  99.999  99.999  99.999  nickel1
 2007fb  54379.30  19.952   0.305  19.519   0.380  19.319   0.431  19.804   0.704  99.999  99.999    kait4
 2007fb  54380.12  19.912   0.080  19.437   0.086  19.460   0.109  19.739   0.321  99.999  99.999  nickel1
 2007fb  54382.26  19.844   0.181  19.464   0.230  19.725   0.378  20.152   0.711  99.999  99.999    kait4
 2007fb  54388.26  20.001   0.203  19.681   0.236  19.705   0.304  20.449   0.581  99.999  99.999    kait4
 2007fb  54393.92  19.977   0.213  99.999  99.999  19.673   0.233  99.999  99.999  99.999  99.999  nickel1
 2007fs  54297.38  15.313   0.035  15.243   0.018  15.197   0.017  15.671   0.035  99.999  99.999    kait4
 2007fs  54299.38  15.393   0.028  15.256   0.014  15.224   0.014  15.729   0.035  99.999  99.999    kait4
 2007fs  54301.38  15.440   0.029  15.283   0.018  15.313   0.016  15.841   0.036  99.999  99.999    kait4
 2007fs  54303.37  15.631   0.024  15.397   0.015  15.412   0.017  15.966   0.034  99.999  99.999    kait4
 2007fs  54306.39  15.853   0.025  15.547   0.024  15.643   0.019  16.224   0.034  99.999  99.999    kait4
 2007fs  54308.32  16.033   0.067  15.671   0.024  15.809   0.026  16.364   0.062  99.999  99.999    kait4
 2007fs  54315.37  16.668   0.054  16.023   0.025  16.037   0.025  16.328   0.055  99.999  99.999    kait4
 2007fs  54316.08  16.800   0.024  16.070   0.012  15.984   0.011  16.064   0.021  99.999  99.999  nickel1
 2007fs  54317.08  16.899   0.029  16.109   0.020  15.980   0.013  16.037   0.021  99.999  99.999  nickel1
 2007fs  54318.33  17.016   0.048  16.183   0.033  16.078   0.031  16.238   0.049  99.999  99.999    kait4
 2007fs  54321.35  17.262   0.032  16.328   0.020  16.108   0.023  16.182   0.043  99.999  99.999    kait4
 2007fs  54323.10  17.457   0.028  16.421   0.014  16.100   0.015  15.928   0.019  99.999  99.999  nickel1
 2007fs  54324.06  17.526   0.020  16.480   0.012  16.427   0.182  15.925   0.017  99.999  99.999  nickel1
 2007fs  54324.30  17.521   0.039  16.523   0.026  16.196   0.026  16.139   0.039  99.999  99.999    kait4
 2007fs  54327.34  17.727   0.046  16.679   0.025  16.318   0.028  16.132   0.037  99.999  99.999    kait4
 2007fs  54330.29  17.993   0.050  16.837   0.025  16.511   0.031  16.323   0.041  99.999  99.999    kait4
 2007fs  54332.03  18.029   0.026  16.979   0.018  16.587   0.019  16.255   0.027  99.999  99.999  nickel1
 2007fs  54333.03  18.071   0.026  17.018   0.018  16.658   0.018  16.324   0.025  99.999  99.999  nickel1
 2007fs  54333.30  18.038   0.045  17.035   0.043  16.675   0.070  16.488   0.074  99.999  99.999    kait4
 2007fs  54336.02  18.221   0.073  17.143   0.047  16.802   0.023  16.520   0.022  99.999  99.999  nickel1
 2007fs  54336.32  18.243   0.122  17.147   0.049  16.839   0.043  16.683   0.050  99.999  99.999    kait4
 2007fs  54342.35  99.999  99.999  99.999  99.999  17.311   0.306  17.084   0.198  99.999  99.999    kait4
 2007fs  54344.07  18.330   0.057  17.451   0.035  17.125   0.032  16.990   0.046  99.999  99.999  nickel1
 2007fs  54345.26  18.229   0.106  17.478   0.057  17.178   0.044  17.185   0.088  99.999  99.999    kait4
 2007fs  54348.30  18.359   0.103  17.505   0.045  17.297   0.064  17.287   0.117  99.999  99.999    kait4
 2007fs  54353.28  18.549   0.068  17.675   0.044  17.461   0.051  17.529   0.098  99.999  99.999    kait4
 2007fs  54357.00  18.561   0.080  17.764   0.048  17.566   0.059  17.575   0.065  99.999  99.999  nickel1
 2007fs  54357.26  18.554   0.077  17.794   0.053  17.568   0.054  17.687   0.125  99.999  99.999    kait4
 2007fs  54358.01  18.586   0.044  17.828   0.032  17.573   0.041  17.635   0.089  99.999  99.999  nickel1
 2007fs  54360.22  18.612   0.114  17.811   0.097  17.673   0.148  17.850   0.183  99.999  99.999    kait4
 2007fs  54363.92  18.542   0.120  17.642   0.204  17.719   0.079  17.862   0.110  99.999  99.999  nickel1
 2007fs  54364.23  18.647   0.195  17.944   0.118  17.770   0.191  18.024   0.203  99.999  99.999    kait4
 2007fs  54370.28  18.717   0.278  18.085   0.144  18.052   0.126  18.380   0.250  99.999  99.999    kait4
 2007fs  54373.23  18.841   0.200  18.231   0.098  18.076   0.101  18.372   0.232  99.999  99.999    kait4
 2007fs  54376.18  18.894   0.151  18.262   0.074  18.195   0.096  18.414   0.229  99.999  99.999    kait4
 2007fs  54379.17  18.893   0.397  18.189   0.148  18.326   0.144  18.697   0.214  99.999  99.999    kait4
 2007fs  54380.01  18.871   0.072  18.310   0.070  18.193   0.124  18.396   0.153  99.999  99.999  nickel1
 2007fs  54382.24  18.844   0.083  18.430   0.099  18.404   0.150  18.812   0.349  99.999  99.999    kait4
 2007fs  54387.16  19.090   0.156  18.489   0.125  18.569   0.183  18.820   0.379  99.999  99.999    kait4
 2007if  54355.46  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  17.365   0.017    kait4
 2007if  54357.52  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  17.436   0.016    kait4
 2007if  54358.10  18.103   0.026  17.641   0.012  17.439   0.014  17.566   0.021  99.999  99.999  nickel1
 2007if  54358.44  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  17.452   0.017    kait4
 2007if  54359.48  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  17.539   0.015    kait4
 2007if  54360.42  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  17.574   0.015    kait4
 2007if  54361.39  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  17.587   0.014    kait4
 2007if  54362.38  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  17.658   0.019    kait4
 2007if  54367.41  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  17.842   0.033    kait4
 2007if  54369.33  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  17.952   0.057    kait4
 2007if  54376.38  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  18.228   0.028    kait4
 2007if  54379.12  99.999  99.999  18.863   0.039  18.182   0.020  17.917   0.030  99.999  99.999  nickel1
 2007if  54379.39  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  18.315   0.035    kait4
 2007if  54380.15  20.001   0.093  18.851   0.026  18.174   0.020  17.875   0.031  99.999  99.999  nickel1
 2007if  54381.42  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  18.359   0.035    kait4
 2007if  54384.33  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  18.435   0.029    kait4
 2007if  54387.41  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  18.521   0.035    kait4
 2007if  54391.11  20.365   0.087  19.282   0.026  18.534   0.042  18.201   0.060  99.999  99.999  nickel1
 2007if  54391.41  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  18.616   0.133    kait4
 2007if  54394.00  20.518   0.217  99.999  99.999  18.695   0.041  18.448   0.075  99.999  99.999  nickel1
 2007if  54395.28  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  18.848   0.083    kait4
